NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
68462,0653,01,"GLENMARK PHARMACEUTICALS, INC., USA",Active,MIXED AMPHETAMINES IR TAB 30MG 100,01,0210754,N,1,N,07/05/2022,06/10/2025,TAB,1,AB,N,,06/10/2025,,,07/01/2025
68462,0933,01,"GLENMARK PHARMACEUTICALS, INC., USA",Active,EPINEPHRINE INJ 1MG/MLX1 AMP,01,0218144,N,1,N,06/03/2025,06/06/2025,ML,1,A1,Y,,06/06/2025,,,07/01/2025
68462,0933,10,"GLENMARK PHARMACEUTICALS, INC., USA",Active,EPINEPHRINE INJ 1MG/MLX10 AMP,01,0218144,N,1,N,06/03/2025,06/06/2025,ML,1,A1,Y,,06/06/2025,,,07/01/2025
69367,0247,08,"WESTMINSTER PHARMACEUTICALS, LLC.",Active,Sodium Sulfacetamide 10% and Sulfur 5% Cleanser,12,,N,1,N,09/30/1990,05/13/2020,GM,227,NR,N,,05/13/2020,,,07/03/2025
69751,0400,01,"EVOFEM, INC.",Active,SOLOSEC (secnidazole) Oral Granules 2gm/Packet,03,0209363,S,1,N,10/30/2017,05/31/2018,GM,2,NR,N,02/19/2025,02/19/2025,,,06/30/2025
71779,0623,01,"VERASTEM, INC.",Active,AVMAPKITM (avutometinib) FAKZYNJATM (defactinib) CO-PACK ,03,0219616,S,1,N,05/08/2025,05/19/2025,EA,1,NR,N,,05/19/2025,,,06/30/2025
71930,0078,50,EYWA PHARMA,Active,"Hydrocortisone Tablets, USP 5mg",01,0217160,N,1,N,11/25/2024,05/28/2025,TAB,1,AB,N,,05/28/2025,,,07/03/2025
71930,0079,12,EYWA PHARMA,Active,"Hydrocortisone Tablets, USP 10mg",01,0217160,N,1,N,11/25/2024,05/28/2025,TAB,1,AB,N,,05/28/2025,,,07/03/2025
71930,0080,12,EYWA PHARMA,Active,"Hydrocortisone Tablets, USP 20mg",01,0217160,N,1,N,11/25/2024,05/28/2025,TAB,1,AB,N,,05/28/2025,,,07/03/2025
72485,0118,01,ARMAS PHARMACEUTICALS INC.,Active,Dexamethasone Sod Phos Inj PF 10 mL ,01,0217797,N,1,N,03/27/2024,05/01/2025,ML,1,AP,Y,,05/01/2025,,,06/30/2025
72485,0118,25,ARMAS PHARMACEUTICALS INC.,Active,Dexamethasone Sod Phos Inj PF 10 mL x25,01,0217797,N,1,N,03/27/2024,05/01/2025,ML,25,AP,Y,,05/01/2025,,,06/30/2025
75907,0166,30,"DR. REDDY'S LABORATORIES, INC.",Active,"METYROSINE CAPSULES, USP 250MG 30'S",01,0218620,N,1,N,04/09/2025,06/30/2025,CAP,1,AB,N,,06/30/2025,,,07/02/2025
